Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"ESP32","Microcontroller",1,9.99,"https://www.amazon.com/gp/product/B0718T232Z/ref=ox_sc_act_title_2?smid=A30QSGOJR8LMXA&psc=1","Amazon"
"ST7735 display","Screen",1,9.95,"https://www.amazon.com/gp/product/B0D31BGJWF/ref=ox_sc_act_title_1?smid=ACSUDGHCXWYXE&psc=1","Amazon"
